Year,State,Incident Type,Count of Incidents,Total Obligated
2018,Maryland,Severe Storm(s),1,"$5,556,545.03 "
2018,Massachusetts,Severe Storm(s),1,"$23,672,590.83 "
2018,Massachusetts,Snow,1,"$34,678,098.94 "
2018,Michigan,Flood,1,"$21,768,182.24 "
2018,Minnesota,Flood,1,"$21,622,657.68 "
2018,Montana,Flood,2,"$3,747,306.77 "
2018,Nebraska,Severe Storm(s),1,"$2,738,955.31 "
2018,Nebraska,Snow,1,"$7,487,077.22 "
2018,New Hampshire,Coastal Storm,1,"$622,436.09 "
2018,New Hampshire,Severe Storm(s),1,"$9,504,433.82 "
2018,New Hampshire,Snow,1,"$2,722,902.39 "
2018,New Jersey,Severe Storm(s),1,"$30,875,793.94 "
2018,New York,Flood,1,"$5,856,719.79 "
2018,North Carolina,Hurricane,1,"$522,633,453.95 "
2018,Northern Mariana Islands,Typhoon,2,"$176,740,213.13 "
2018,Ohio,Flood,1,"$53,593,901.91 "
2018,Oklahoma,Fire,1,"$5,461,446.17 "
2018,Pennsylvania,Severe Storm(s),1,"$55,094,471.38 "
2018,South Carolina,Hurricane,1,"$89,678,412.44 "
2018,Vermont,Severe Storm(s),2,"$8,627,816.04 "
2018,Virginia,Hurricane,2,"$49,302,467.83 "
2018,Washington,Flood,1,"$327,171.11 "
2018,West Virginia,Mud/Landslide,1,"$42,504,583.15 "
2018,West Virginia,Severe Storm(s),1,"$2,761,381.93 "
2018,Wisconsin,Flood,2,"$25,719,086.23 "
2019,Alabama,Severe Storm(s),1,"$4,698,837.03 "
2019,Alabama,Tornado,1,"$3,689,283.38 "
2019,Alaska,Earthquake,1,"$23,600,561.99 "
2019,Arkansas,Flood,2,"$25,442,301.80 "
2019,California,Severe Storm(s),3,"$25,410,366.89 "
2019,Florida,Hurricane,1,"$1,390,503.17 "
2019,Guam,Typhoon,1,"$555,333.06 "
2019,Idaho,Flood,1,"$977,001.20 "
2019,Illinois,Flood,1,"$8,828,759.36 "
2019,Iowa,Flood,2,"$34,475,018.93 "
2019,Kansas,Severe Storm(s),2,"$3,768,495.04 "
2019,Kentucky,Severe Storm(s),1,"$66,106,498.74 "
2019,Louisiana,Flood,1,"$5,596,700.78 "
2019,Louisiana,Hurricane,1,"$14,709,698.73 "
2019,Louisiana,Severe Storm(s),1,"$4,039,780.21 "
2019,Minnesota,Flood,2,"$12,087,621.67 "
2019,Mississippi,Severe Storm(s),4,"$27,806,375.01 "
2019,Missouri,Flood,1,"$13,135,520.99 "
2019,Missouri,Severe Storm(s),1,"$13,622,092.99 "
2019,Montana,Flood,1,"$1,098,540.70 "
2019,Nebraska,Flood,2,"$43,791,327.69 "
2019,New Hampshire,Severe Storm(s),1,"$241,023.70 "
2019,North Carolina,Hurricane,2,"$21,813,837.98 "
2019,North Dakota,Flood,1,"$5,906,809.20 "
2019,Ohio,Flood,1,"$9,977,230.39 "
2019,Ohio,Tornado,1,"$3,214,010.35 "
2019,Oklahoma,Severe Storm(s),2,"$14,800,575.57 "
2019,Oregon,Flood,1,"$614,555.07 "
2019,Oregon,Severe Storm(s),1,"$16,051,485.50 "
2019,South Carolina,Hurricane,1,"$6,446,792.91 "
2019,South Dakota,Flood,2,"$8,186,068.56 "
2019,South Dakota,Severe Storm(s),2,"$863,664.19 "
2019,Tennessee,Flood,1,"$8,699,755.62 "
2019,Tennessee,Severe Storm(s),1,"$795,476.61 "
2019,Texas,Flood,1,"$46,155,531.22 "
2019,Vermont,Flood,1,"$941,649.98 "
2019,Washington,Severe Storm(s),1,"$8,234,994.05 "
2019,West Virginia,Flood,1,"$2,699,880.27 "
2019,Wisconsin,Flood,1,"$4,568,654.97 "
